,source,target,time,type
75,5293521,72,2015-12-30 22:48:29,a2q
76,6722,106,2015-12-30 20:57:57,a2q
77,476,449227,2015-12-30 18:42:06,a2q
78,4376,4376,2015-12-30 18:29:18,a2q
79,90263,5454,2015-12-30 18:26:01,a2q
80,393615,93,2015-12-30 18:21:48,a2q
81,3434,15441,2015-12-30 10:34:44,a2q
82,274,274,2015-12-30 06:31:38,a2q
83,6509,10631,2015-12-29 18:03:22,a2q
84,2013911,91,2015-12-29 03:40:29,a2q
85,8611,8611,2015-12-29 00:35:37,a2q
86,7850,7850,2015-12-28 22:15:54,a2q
87,6309,26685,2015-12-28 17:08:51,a2q
88,267,219166,2015-12-28 04:42:08,a2q
89,267,683796,2015-12-28 01:31:07,a2q
90,267,726836,2015-12-28 01:26:05,a2q
91,40521,4653,2015-12-27 13:06:54,a2q
92,654330,209,2015-12-27 08:39:01,a2q
93,6309,31038,2015-12-25 13:46:40,a2q
94,69051,7382,2015-12-25 11:43:46,a2q
95,80434,1816,2015-12-25 07:20:10,a2q
96,2381,7850,2015-12-25 01:05:28,a2q
97,62576,4997,2015-12-24 23:02:04,a2q
98,299025,609,2015-12-24 20:06:43,a2q
99,9204,15441,2015-12-24 18:29:50,a2q
100,672,322553,2015-12-24 04:07:45,a2q
101,9859,9859,2015-12-23 23:23:21,a2q
102,2069,25338,2015-12-23 22:59:08,a2q
103,476,139150,2015-12-23 22:08:31,a2q
104,6722,16391,2015-12-23 20:06:34,a2q
105,55075,3045,2015-12-23 18:48:11,a2q
106,432,301832,2015-12-23 17:58:32,a2q
107,69798,7850,2015-12-23 15:55:41,a2q
108,6309,14955,2015-12-23 13:44:16,a2q
109,40521,4035,2015-12-23 10:08:21,a2q
110,945,945,2015-12-23 02:35:39,a2q
111,476,629127,2015-12-22 21:41:30,a2q
112,5677,1256,2015-12-22 17:34:40,a2q
113,511366,307,2015-12-22 17:14:35,a2q
114,6482,6482,2015-12-22 16:40:44,a2q
115,8331,8331,2015-12-22 10:59:25,a2q
116,97337,293,2015-12-22 03:29:05,a2q
117,7441,9825,2015-12-22 00:02:53,a2q
118,2688,11197,2015-12-21 23:06:22,a2q
119,65775,5542,2015-12-21 22:52:07,a2q
120,19756,7167,2015-12-21 20:40:37,a2q
121,5795,5795,2015-12-21 18:55:28,a2q
122,4534,4534,2015-12-21 16:56:47,a2q
123,61,5676234,2015-12-21 12:46:11,a2q
124,17034,9611,2015-12-20 19:52:02,a2q
125,342,113578,2015-12-20 17:20:37,a2q
126,9204,39677,2015-12-20 03:56:27,a2q
127,4794,4794,2015-12-19 08:21:15,a2q
128,2820,4376,2015-12-19 04:06:25,a2q
129,4931,46279,2015-12-19 03:06:57,a2q
130,302793,82,2015-12-19 01:38:33,a2q
131,12597,267,2015-12-18 22:53:39,a2q
132,79221,5999,2015-12-18 19:45:39,a2q
133,4549000,61,2015-12-18 19:43:52,a2q
134,6560,23164,2015-12-18 19:38:55,a2q
135,4323,85821,2015-12-18 18:51:32,a2q
136,4510,82159,2015-12-18 18:35:35,a2q
137,2988,27358,2015-12-18 17:52:28,a2q
138,4509,86971,2015-12-18 15:15:22,a2q
139,4208200,62,2015-12-18 11:23:07,a2q
140,571,826568,2015-12-18 11:21:14,a2q
141,13070,382,2015-12-18 07:44:38,a2q
142,1828879,93,2015-12-18 07:02:22,a2q
143,2502532,58,2015-12-18 04:56:10,a2q
144,58,58,2015-12-18 04:51:03,a2q
145,1039007,58,2015-12-18 00:37:41,a2q
146,2502532,58,2015-12-18 00:28:16,a2q
147,63333,3114,2015-12-18 00:19:41,a2q
148,9424,9424,2015-12-17 22:49:10,a2q
149,1900,1900,2015-12-17 20:59:11,a2q
150,56079,8114,2015-12-17 12:42:45,a2q
151,4323,11125,2015-12-17 12:04:00,a2q
152,87427,6448,2015-12-17 06:08:13,a2q
153,12597,922,2015-12-17 05:17:01,a2q
154,6509,56083,2015-12-17 04:57:23,a2q
155,506908,279,2015-12-17 04:51:17,a2q
156,909777,29,2015-12-17 00:56:23,a2q
157,6555,6555,2015-12-17 00:42:25,a2q
158,476,434697,2015-12-16 18:55:18,a2q
159,6068,6068,2015-12-16 18:25:52,a2q
160,6068,6068,2015-12-16 18:24:08,a2q
161,1185,1185,2015-12-16 16:03:03,a2q
